,Faculty,Programming Experience,Python Level,DS/ML Course,Familiarity with ChatGPT
0,факультет экономических наук,No programming experience,not familiar with Python,no DS/ML course,No
1,Факультет Санкт-Петербургская школа экономики и менеджмента,R,not familiar with Python,DS/ML course in HSE,No
2,Высшая школа бизнеса,Python,beginner level (had an introductory Python course),no DS/ML course,Yes
3,факультет социальных наук,"Python, R",beginner level (had an introductory Python course),no DS/ML course,Yes
4,Высшая школа бизнеса,Python,advance (use Python to earn money),DS/ML course in HSE,Yes
5,Высшая школа бизнеса,Python,advance (use Python to earn money),DS/ML course in HSE,Yes
6,Высшая школа бизнеса,"Python, R",advance (use Python to earn money),DS/ML course in HSE,Yes
7,Факультет Санкт-Петербургская школа экономики и менеджмента,"Python, R",good familiarity (use Python in more than one edu courses),DS/ML course in HSE,Yes
8,факультет социальных наук,R,not familiar with Python,no DS/ML course,Yes
9,факультет экономических наук,No programming experience,not familiar with Python,no DS/ML course,Yes
10,Высшая школа бизнеса,Python,good familiarity (use Python in more than one edu courses),DS/ML course in HSE,Yes
11,Факультет Санкт-Петербургская школа экономики и менеджмента,R,,DS/ML course on MOOCs platforms,No
12,факультет социальных наук,"Python, R, Jamovi, but I need to recall the knowledge that I have (for all programming language)",beginner level (had an introductory Python course),DS/ML course in HSE,Yes
13,Факультет Санкт-Петербургская школа социальных наук и востоковедения,"Python, R",good familiarity (use Python in more than one edu courses),DS/ML course in HSE,Yes
14,факультет креативных индустрий,No programming experience,not familiar with Python,no DS/ML course,Yes
15,факультет социальных наук,"Python, R",beginner level (had an introductory Python course),DS/ML course on MOOCs platforms,Yes
16,Факультет Санкт-Петербургская школа экономики и менеджмента,"Python, R",beginner level (had an introductory Python course),DS/ML course in HSE,Yes
17,Факультет Санкт-Петербургская школа социальных наук и востоковедения,"Python, R",beginner level (had an introductory Python course),DS/ML course in HSE,No
18,Факультет Санкт-Петербургская школа экономики и менеджмента,"Python, R",beginner level (had an introductory Python course),DS/ML course in HSE,Yes
19,факультет экономических наук,"Python, C++, Pascal",good familiarity (use Python in more than one edu courses),Had an experience during bachelor thesis,Yes
20,Факультет Санкт-Петербургская школа социальных наук и востоковедения,"Python, R",beginner level (had an introductory Python course),no DS/ML course,Yes
21,Высшая школа бизнеса,Python,advance (use Python to earn money),DS/ML course in HSE,Yes
22,Other,No programming experience,,no DS/ML course,Yes
23,факультет креативных индустрий,No programming experience,beginner level (had an introductory Python course),no DS/ML course,Yes
24,Факультет Санкт-Петербургская школа экономики и менеджмента,"Python, R",beginner level (had an introductory Python course),DS/ML course in HSE,Yes
25,Магистерская школа,No programming experience,not familiar with Python,no DS/ML course,No
26,Факультет Санкт-Петербургская школа экономики и менеджмента,Python,beginner level (had an introductory Python course),no DS/ML course,No
27,факультет компьютерных наук,"Python, C++",good familiarity (use Python in more than one edu courses),no DS/ML course,Yes
28,Факультет Санкт-Петербургская школа экономики и менеджмента,No programming experience,not familiar with Python,no DS/ML course,No
29,Высшая школа бизнеса,"Python, R, Java",beginner level (had an introductory Python course),no DS/ML course,Yes
30,Высшая школа бизнеса,No programming experience,not familiar with Python,no DS/ML course,Yes
31,факультет компьютерных наук,"Python, R",advance (use Python to earn money),DS/ML course in HSE,Yes
32,Факультет Санкт-Петербургская школа экономики и менеджмента,"Python, R",good familiarity (use Python in more than one edu courses),DS/ML course in HSE,Yes
33,Факультет Санкт-Петербургская школа экономики и менеджмента,Python,beginner level (had an introductory Python course),DS/ML course in HSE,No
34,Факультет Санкт-Петербургская школа экономики и менеджмента,R,not familiar with Python,DS/ML course in HSE,Yes
35,факультет компьютерных наук,"Python, Java, C++",good familiarity (use Python in more than one edu courses),DS/ML course on MOOCs platforms,Yes
36,Факультет Санкт-Петербургская школа экономики и менеджмента,"Python, R",beginner level (had an introductory Python course),DS/ML course in HSE,Yes
37,Московский институт электроники и математики им. А.Н. Тихонова,"Python, C,C++",good familiarity (use Python in more than one edu courses),DS/ML course in HSE,Yes
38,Высшая школа бизнеса,Python,good familiarity (use Python in more than one edu courses),DS/ML course in HSE,Yes
39,факультет экономических наук,"Python, R",good familiarity (use Python in more than one edu courses),no DS/ML course,No
40,факультет социальных наук,Python,good familiarity (use Python in more than one edu courses),DS/ML course in HSE,No
41,Высшая школа бизнеса,"Python, С#",good familiarity (use Python in more than one edu courses),DS/ML course in HSE,No
42,факультет компьютерных наук,"Python, c++, java, js",advance (use Python to earn money),DS/ML course in HSE,Yes
43,факультет компьютерных наук,"Python, R",beginner level (had an introductory Python course),DS/ML course in HSE,No
44,факультет компьютерных наук,Python,good familiarity (use Python in more than one edu courses),DS/ML course in HSE,Yes
45,факультет социальных наук,Python,advance (use Python to earn money),DS/ML course on MOOCs platforms,Yes
46,Факультет Санкт-Петербургская школа экономики и менеджмента,"Python, R",beginner level (had an introductory Python course),DS/ML course in HSE,No
47,Высшая школа бизнеса,No programming experience,beginner level (had an introductory Python course),DS/ML course in HSE,Yes
48,Высшая школа бизнеса,No programming experience,not familiar with Python,no DS/ML course,Yes
49,факультет социальных наук,"R, SQL",not familiar with Python,no DS/ML course,Yes
50,"Факультет информатики, математики и компьютерных наук",Python,advance (use Python to earn money),DS/ML course in HSE,Yes
51,Факультет Санкт-Петербургская школа экономики и менеджмента,R,beginner level (had an introductory Python course),DS/ML course in HSE,No
52,факультет экономических наук,Python,beginner level (had an introductory Python course),no DS/ML course,Yes
53,Факультет Санкт-Петербургская школа экономики и менеджмента,"Python, R",beginner level (had an introductory Python course),will have ML in HSE while this course goes,No
54,факультет компьютерных наук,Python,beginner level (had an introductory Python course),DS/ML course in HSE,Yes
55,факультет компьютерных наук,Python,beginner level (had an introductory Python course),DS/ML course in HSE,Yes
56,Высшая школа бизнеса,Python,beginner level (had an introductory Python course),no DS/ML course,Yes
57,Высшая школа бизнеса,Python,beginner level (had an introductory Python course),no DS/ML course,Yes
58,Факультет Санкт-Петербургская школа экономики и менеджмента,"Python, R",good familiarity (use Python in more than one edu courses),DS/ML course in HSE,Yes
59,Магистерская школа,Python,beginner level (had an introductory Python course),DS/ML course in HSE,Yes
60,Магистерская школа,No programming experience,,no DS/ML course,No
61,Высшая школа бизнеса,"Python, R",good familiarity (use Python in more than one edu courses),DS/ML course in HSE,I am a promt engineer!
62,Факультет Санкт-Петербургская школа социальных наук и востоковедения,"R, started to learn Java few weeks ago",not familiar with Python,"Have quantitative methods in political science, during the classes started to learn R",Yes
63,Высшая школа бизнеса,No programming experience,not familiar with Python,no DS/ML course,Yes
64,факультет экономических наук,Python,beginner level (had an introductory Python course),no DS/ML course,Yes
65,Высшая школа бизнеса,No programming experience,not familiar with Python,no DS/ML course,Yes
66,факультет экономических наук,Python,beginner level (had an introductory Python course),no DS/ML course,No
67,факультет компьютерных наук,"Python, Go",advance (use Python to earn money),no DS/ML course,Yes
68,"Факультет информатики, математики и компьютерных наук",No programming experience,beginner level (had an introductory Python course),DS/ML course in HSE,Yes
69,Факультет Санкт-Петербургская школа экономики и менеджмента,"Python, R",beginner level (had an introductory Python course),DS/ML course in HSE,No
70,Высшая школа бизнеса,SQL,beginner level (had an introductory Python course),no DS/ML course,I am a promt engineer!
71,Высшая школа бизнеса,No programming experience,not familiar with Python,no DS/ML course,No
72,факультет компьютерных наук,Python,good familiarity (use Python in more than one edu courses),DS/ML course in HSE,No
73,Other,R,not familiar with Python,no DS/ML course,Yes
74,Факультет Санкт-Петербургская школа социальных наук и востоковедения,"Python, R",beginner level (had an introductory Python course),DS/ML course in HSE,No
75,факультет компьютерных наук,Python,good familiarity (use Python in more than one edu courses),DS/ML course in HSE,No
76,факультет социальных наук,"Python, R",beginner level (had an introductory Python course),DS/ML course in HSE,Yes
77,Факультет Санкт-Петербургская школа экономики и менеджмента,Python,beginner level (had an introductory Python course),DS/ML course in HSE,No
78,Высшая школа бизнеса,No programming experience,not familiar with Python,no DS/ML course,Yes
79,факультет компьютерных наук,Python,advance (use Python to earn money),DS/ML course in HSE,No
80,Высшая школа бизнеса,Python,advance (use Python to earn money),DS/ML course in HSE,Yes
81,факультет экономических наук,No programming experience,beginner level (had an introductory Python course),no DS/ML course,No
82,факультет социальных наук,R,not familiar with Python,no DS/ML course,No
83,факультет компьютерных наук,"Python, C++ Rust Go",good familiarity (use Python in more than one edu courses),DS/ML course in HSE,I am a promt engineer!
84,факультет права,Python,beginner level (had an introductory Python course),no DS/ML course,Yes
85,Высшая школа бизнеса,Python,beginner level (had an introductory Python course),no DS/ML course,Yes
86,факультет креативных индустрий,No programming experience,not familiar with Python,no DS/ML course,Yes
87,Факультет Санкт-Петербургская школа экономики и менеджмента,No programming experience,not familiar with Python,no DS/ML course,No
88,факультет социальных наук,"Python, R",beginner level (had an introductory Python course),I have one ML course now ,No
89,Высшая школа бизнеса,Python,good familiarity (use Python in more than one edu courses),DS/ML course in HSE,No
